client_id,round,flops
f0026_17,1,11256585216.0
f0086_47,1,9741937664.0
f0002_01,1,12530266112.0
f0016_39,1,9673090048.0
f0054_14,1,13287589888.0
f0055_09,1,11566399488.0
f0075_46,1,9810785280.0
f0093_24,1,9432123392.0
f0073_45,1,10292718592.0
f0095_41,1,12495842304.0
f0029_05,2,7676509184.0
f0087_24,2,10051751936.0
f0005_26,2,10877923328.0
f0015_48,2,11463128064.0
f0017_07,2,13149894656.0
f0018_13,2,11876213760.0
f0064_04,2,11015618560.0
f0092_16,2,11841789952.0
f0072_36,2,11772942336.0
f0012_39,2,9569818624.0
f0047_00,3,12254875648.0
f0057_20,3,12048332800.0
f0063_38,3,12805656576.0
f0042_43,3,10223870976.0
f0096_45,3,12392570880.0
f0058_07,3,10740228096.0
f0014_19,3,11738518528.0
f0072_36,3,11772942336.0
f0004_09,3,9776361472.0
f0064_04,3,11015618560.0
f0033_49,4,10464837632.0
f0053_23,4,10120599552.0
f0049_32,4,12186028032.0
f0041_30,4,11118889984.0
f0054_14,4,13287589888.0
f0084_19,4,8020747264.0
f0002_01,4,12530266112.0
f0048_00,4,4062009344.0
f0082_40,4,9535394816.0
f0066_37,4,13287589888.0
f0056_01,5,10636956672.0
f0046_20,5,13322013696.0
f0002_01,5,12530266112.0
f0090_10,5,12495842304.0
f0058_07,5,10740228096.0
f0089_16,5,11428704256.0
f0037_16,5,12495842304.0
f0013_38,5,10223870976.0
f0015_48,5,11463128064.0
f0067_25,5,7848628224.0
f0068_00,6,10912347136.0
f0072_36,6,11772942336.0
f0082_40,6,9535394816.0
f0092_16,6,11841789952.0
f0093_24,6,9432123392.0
f0049_32,6,12186028032.0
f0023_08,6,12977775616.0
f0009_06,6,11704094720.0
f0067_25,6,7848628224.0
f0085_01,6,11463128064.0
f0093_24,7,9432123392.0
f0039_14,7,11566399488.0
f0011_13,7,13184318464.0
f0073_45,7,10292718592.0
f0022_10,7,10361566208.0
f0006_12,7,11772942336.0
f0028_05,7,12392570880.0
f0080_14,7,10017328128.0
f0094_41,7,12702385152.0
f0002_01,7,12530266112.0
f0098_33,8,11359856640.0
f0064_04,8,11015618560.0
f0040_25,8,11635247104.0
f0022_10,8,10361566208.0
f0052_42,8,6781490176.0
f0003_42,8,12323723264.0
f0007_14,8,11635247104.0
f0079_06,8,8089594880.0
f0027_29,8,13838370816.0
f0047_00,8,12254875648.0
f0002_01,9,12530266112.0
f0072_36,9,11772942336.0
f0088_22,9,10223870976.0
f0015_48,9,11463128064.0
f0021_34,9,9053461504.0
f0089_16,9,11428704256.0
f0091_26,9,11359856640.0
f0041_30,9,11118889984.0
f0045_12,9,10155023360.0
f0051_42,9,12289299456.0
f0077_13,10,12702385152.0
f0053_23,10,10120599552.0
f0031_02,10,12633537536.0
f0061_45,10,11050042368.0
f0096_45,10,12392570880.0
f0098_33,10,11359856640.0
f0032_27,10,8640375808.0
f0018_13,10,11876213760.0
f0064_04,10,11015618560.0
f0082_40,10,9535394816.0
f0050_10,11,9707513856.0
f0056_01,11,10636956672.0
f0040_25,11,11635247104.0
f0081_26,11,10533685248.0
f0091_26,11,11359856640.0
f0075_46,11,9810785280.0
f0017_07,11,13149894656.0
f0085_01,11,11463128064.0
f0071_21,11,9294428160.0
f0035_19,11,12908928000.0
